data_type,1st Party,Amplitude,Braze,Doubleclick,Facebook,Google,Merchant-center-analytics,Mixpanel,Unity,Other 3rd Party
app ver,1.0,8.0,6.0,15.0,6.0,6.0,6.0,7.0,2.0,12.0
device_id,1.0,8.0,6.0,15.0,6.0,6.0,6.0,7.0,2.0,12.0
language,1.0,8.0,6.0,15.0,6.0,6.0,6.0,7.0,2.0,12.0
system ver,1.0,8.0,6.0,15.0,6.0,6.0,6.0,7.0,2.0,12.0
geo location,1.0,8.0,6.0,15.0,6.0,6.0,6.0,6.0,2.0,12.0
usage info,1.0,7.0,6.0,15.0,6.0,6.0,6.0,7.0,2.0,12.0
phone num,1.0,8.0,6.0,15.0,6.0,6.0,6.0,6.0,2.0,10.0
platform,1.0,7.0,6.0,14.0,5.0,5.0,5.0,7.0,2.0,12.0
app_version,1.0,6.0,6.0,13.0,6.0,6.0,6.0,5.0,2.0,12.0
identifier,1.0,6.0,3.0,14.0,6.0,6.0,6.0,7.0,2.0,12.0
gameplay,1.0,6.0,3.0,14.0,6.0,6.0,6.0,7.0,2.0,9.0
session,1.0,7.0,6.0,12.0,3.0,3.0,3.0,7.0,2.0,12.0
usage time,1.0,5.0,6.0,12.0,3.0,3.0,3.0,7.0,2.0,9.0
information,1.0,4.0,2.0,13.0,6.0,6.0,6.0,2.0,1.0,9.0
name,1.0,3.0,6.0,10.0,6.0,6.0,6.0,1.0,2.0,8.0
screen,0.0,3.0,2.0,15.0,6.0,6.0,6.0,1.0,0.0,9.0
type,1.0,6.0,6.0,11.0,2.0,2.0,2.0,4.0,2.0,12.0
browser type,0.0,3.0,2.0,14.0,6.0,6.0,6.0,1.0,0.0,8.0
browsing,0.0,3.0,2.0,13.0,6.0,6.0,6.0,0.0,0.0,9.0
sdk_version,1.0,4.0,6.0,7.0,2.0,2.0,2.0,7.0,2.0,8.0
model,1.0,6.0,4.0,8.0,2.0,2.0,2.0,7.0,2.0,5.0
os_version,1.0,4.0,6.0,6.0,2.0,2.0,2.0,7.0,2.0,6.0
device_model,1.0,4.0,6.0,7.0,1.0,1.0,1.0,7.0,2.0,8.0
user_id,1.0,5.0,0.0,8.0,1.0,1.0,1.0,6.0,2.0,10.0
ip_address,0.0,5.0,2.0,10.0,1.0,1.0,1.0,7.0,0.0,6.0
password,1.0,3.0,2.0,7.0,1.0,1.0,1.0,7.0,2.0,8.0
user id,1.0,5.0,2.0,9.0,0.0,0.0,0.0,5.0,2.0,7.0
error report,1.0,3.0,6.0,5.0,1.0,1.0,1.0,2.0,2.0,8.0
biographical,0.0,1.0,0.0,8.0,6.0,6.0,6.0,0.0,0.0,2.0
device info,1.0,1.0,6.0,4.0,2.0,2.0,2.0,2.0,2.0,6.0
manufacturer,0.0,3.0,0.0,6.0,1.0,1.0,1.0,7.0,0.0,4.0
employment,0.0,4.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,9.0
pii,1.0,2.0,3.0,7.0,0.0,0.0,0.0,0.0,2.0,7.0
person name,0.0,5.0,0.0,4.0,1.0,1.0,1.0,4.0,0.0,2.0
device id,1.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0
vr movement,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,6.0
ip addr,0.0,0.0,6.0,3.0,1.0,1.0,1.0,0.0,0.0,2.0
sdk ver,1.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,2.0,4.0
network,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0
billing,1.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0
signature,1.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
vr headset,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0
ad id,0.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0
height,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0
email addr,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0
email,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0
surrounding environment,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0
account,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0
camera,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0
project,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0
photo,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0
zip_code,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0
hand tracking,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
cpu,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
system_version,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
gpu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
advertising_id,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
